0	0	87	299
1.5	0	96	300
3	0	107	301
4.5	0	119	304
6	0	133	306
7.5	0	147	309
9	0	160	312
10.5	0	176	314
12	0	193	316
13.5	0	211	318
15	0	227	318
16.5	0	246	318
18	0	264	318
19.5	0	283	317
21	0	302	315
22.5	0	321	313
24	0	338	313
25.5	0	356	310
27	0	373	309
28.5	0	390	307
30	0	406	306
31.5	0	422	303
33	0	436	300
34.5	0	450	298
36	0	462	296
37.5	0	473	292
0	1.5	89	287
1.5	1.5	99	289
3	1.5	111	292
4.5	1.5	123	294
6	1.5	136	296
7.5	1.5	149	297
9	1.5	163	299
10.5	1.5	178	299
12	1.5	193	300
13.5	1.5	210	302
15	1.5	229	303
16.5	1.5	245	303
18	1.5	263	303
19.5	1.5	282	302
21	1.5	301	301
22.5	1.5	319	300
24	1.5	337	298
25.5	1.5	355	297
27	1.5	372	294
28.5	1.5	389	291
30	1.5	405	289
31.5	1.5	420	287
33	1.5	434	284
34.5	1.5	448	282
36	1.5	460	279
37.5	1.5	471	278
0	3	93	275
1.5	3	103	276
3	3	115	279
4.5	3	126	281
6	3	138	281
7.5	3	151	282
9	3	165	283
10.5	3	179	283
12	3	194	284
13.5	3	211	285
15	3	228	285
16.5	3	245	286
18	3	263	285
19.5	3	281	285
21	3	299	284
22.5	3	318	283
24	3	335	281
25.5	3	353	279
27	3	370	277
28.5	3	386	275
30	3	402	273
31.5	3	417	272
33	3	431	268
34.5	3	445	266
36	3	456	265
37.5	3	467	264
0	4.5	97	263
1.5	4.5	108	264
3	4.5	118	265
4.5	4.5	129	266
6	4.5	140	266
7.5	4.5	153	267
9	4.5	167	268
10.5	4.5	181	268
12	4.5	196	268
13.5	4.5	212	269
15	4.5	229	269
16.5	4.5	245	270
18	4.5	262	269
19.5	4.5	280	267
21	4.5	298	266
22.5	4.5	316	265
24	4.5	334	263
25.5	4.5	351	262
27	4.5	368	260
28.5	4.5	384	259
30	4.5	399	257
31.5	4.5	413	256
33	4.5	427	254
34.5	4.5	440	252
36	4.5	452	251
37.5	4.5	462	251
0	6	101	251
1.5	6	111	252
3	6	121	252
4.5	6	132	252
6	6	144	252
7.5	6	155	252
9	6	169	252
10.5	6	183	252
12	6	198	252
13.5	6	213	253
15	6	230	253
16.5	6	247	254
18	6	262	253
19.5	6	279	251
21	6	298	250
22.5	6	314	249
24	6	332	248
25.5	6	347	247
27	6	365	245
28.5	6	380	244
30	6	396	243
31.5	6	409	240
33	6	424	239
34.5	6	436	238
36	6	447	239
37.5	6	460	238
0	7.5	105	239
1.5	7.5	114	239
3	7.5	124	239
4.5	7.5	135	239
6	7.5	146	239
7.5	7.5	158	239
9	7.5	171	238
10.5	7.5	185	238
12	7.5	199	237
13.5	7.5	214	238
15	7.5	230	239
16.5	7.5	247	239
18	7.5	262	237
19.5	7.5	279	236
21	7.5	295	236
22.5	7.5	313	235
24	7.5	329	234
25.5	7.5	345	233
27	7.5	361	231
28.5	7.5	376	229
30	7.5	392	228
31.5	7.5	406	227
33	7.5	420	226
34.5	7.5	432	225
36	7.5	443	225
37.5	7.5	456	224
0	9	109	227
1.5	9	117	227
3	9	128	227
4.5	9	138	227
6	9	149	227
7.5	9	162	225
9	9	174	225
10.5	9	187	224
12	9	201	224
13.5	9	217	224
15	9	232	225
16.5	9	247	224
18	9	262	222
19.5	9	279	222
21	9	295	221
22.5	9	311	221
24	9	327	219
25.5	9	343	220
27	9	358	219
28.5	9	373	218
30	9	387	216
31.5	9	402	215
33	9	415	213
34.5	9	428	213
36	9	439	213
37.5	9	452	213
0	10.5	113	217
1.5	10.5	122	216
3	10.5	132	215
4.5	10.5	142	215
6	10.5	152	214
7.5	10.5	165	212
9	10.5	177	212
10.5	10.5	190	210
12	10.5	204	212
13.5	10.5	218	211
15	10.5	233	211
16.5	10.5	248	210
18	10.5	263	209
19.5	10.5	278	209
21	10.5	294	209
22.5	10.5	309	207
24	10.5	326	207
25.5	10.5	340	206
27	10.5	355	206
28.5	10.5	370	205
30	10.5	384	204
31.5	10.5	398	203
33	10.5	411	201
34.5	10.5	423	201
36	10.5	435	202
37.5	10.5	444	202
0	12	116	206
1.5	12	125	205
3	12	135	204
4.5	12	145	203
6	12	156	202
7.5	12	167	201
9	12	180	200
10.5	12	192	200
12	12	205	199
13.5	12	220	200
15	12	234	199
16.5	12	248	198
18	12	263	197
19.5	12	278	197
21	12	294	196
22.5	12	309	195
24	12	323	194
25.5	12	339	194
27	12	353	194
28.5	12	367	193
30	12	381	192
31.5	12	394	191
33	12	407	190
34.5	12	419	190
36	12	430	190
37.5	12	442	194
0	13.5	120	196
1.5	13.5	130	195
3	13.5	138	194
4.5	13.5	148	193
6	13.5	159	191
7.5	13.5	170	190
9	13.5	182	190
10.5	13.5	194	188
12	13.5	208	188
13.5	13.5	221	188
15	13.5	236	187
16.5	13.5	249	186
18	13.5	264	185
19.5	13.5	278	185
21	13.5	293	184
22.5	13.5	308	183
24	13.5	322	183
25.5	13.5	336	184
27	13.5	351	183
28.5	13.5	364	182
30	13.5	378	181
31.5	13.5	391	181
33	13.5	403	180
34.5	13.5	415	180
36	13.5	426	180
37.5	13.5	436	182
0	15	124	186
1.5	15	133	184
3	15	142	183
4.5	15	152	183
6	15	162	180
7.5	15	174	179
9	15	185	179
10.5	15	197	178
12	15	210	177
13.5	15	223	177
15	15	237	176
16.5	15	251	175
18	15	264	174
19.5	15	278	174
21	15	293	173
22.5	15	307	172
24	15	321	172
25.5	15	334	172
27	15	349	172
28.5	15	361	172
30	15	374	172
31.5	15	387	172
33	15	399	170
34.5	15	411	171
36	15	422	171
37.5	15	432	173
0	16.5	127	177
1.5	16.5	136	175
3	16.5	146	174
4.5	16.5	155	173
6	16.5	165	171
7.5	16.5	176	170
