10.5	28.5	209	136
12	28.5	220	134
13.5	28.5	231	132
15	28.5	243	131
16.5	28.5	255	131
18	28.5	267	131
19.5	28.5	279	131
21	28.5	291	131
22.5	28.5	302	131
24	28.5	314	131
25.5	28.5	326	130
27	28.5	338	131
28.5	28.5	349	131
30	28.5	360	132
31.5	28.5	371	132
33	28.5	382	133
34.5	28.5	393	133
36	28.5	403	132
37.5	28.5	412	132
0	30	159	116
1.5	30	168	113
3	30	175	112
4.5	30	183	111
6	30	192	109
7.5	30	201	107
9	30	210	106
10.5	30	219	105
12	30	228	103
13.5	30	238	101
15	30	248	100
16.5	30	259	100
18	30	269	101
19.5	30	279	101
21	30	289	101
22.5	30	299	102
24	30	310	102
25.5	30	320	101
27	30	329	102
28.5	30	340	102
30	30	349	103
31.5	30	359	104
33	30	368	104
34.5	30	377	104
36	30	386	104
37.5	30	395	104
